"CIAN","#00FFFF","#00FFFF"
"PLATA","#C0C0C0","#CCCCCC"
"CIRUELA","#DDA0DD","#CC99CC"
"GRIS","#BEBEBE","#CCCCCC"
"VERDE CLARO","#90EE90","#99FF99"
"VIOLETA","#EE82EE","#FF99FF"
"AMARILLO","#FFFF00","#FFFF00"
"TURQUESA","#40E0D0","#33CCCC"
"MADERA FORNIDA","#DEB887","#CCCC99"
"AMARILLO VERDE","#ADFF2F","#99FF33"
"BRONCEADO","#D2B48C","#CCCC99"
"TURQUESA MEDIO","#48D1CC","#33CCCC"
"SALMÓN CLARO","#FFA07A","#FF9966"
"AGUAMARINA MEDIO","#66CDAA","#66CC99"
"GRIS OSCURO","#A9A9A9","#999999"
"ORQUÍDEA","#DA70D6","#CC66CC"
"VERDE MAR INTENSO","#8FBC8F","#99CC99"
"AZUL CIELO INTENSO","#00BFFF","#00CCFF"
"MARRÓN ARENA","#F4A460","#FF9966"
"DORADO","#FFD700","#FFCC00"
"VERDE PRIMAVERA MEDIO","#00FA9A","#00FF99"
"CAQUI OSCURO","#BDB76B","#CCCC66"
"ACIANO AZUL","#6495ED","#6699FF"
"ROSA CALIENTE","#FF69B4","#FF66CC"
"SALMÓN OSCURO","#E9967A","#FF9966"
"TURQUESA OSCURO","#00CED1","#00CCCC"
"VERDE PRIMAVERA","#00FF7F","#00FF66"
"CORAL CLARO","#F08080","#FF9999"
"MARRÓN ROSADO","#BC8F8F","#CC9999"
"SALMÓN","#FA8072","#FF9966"
"CHARTREUSE","#7FFF00","#66FF00"
"PÚRPURA MEDIO","#9370DB","#9966CC"
"VERDE CÉSPED","#7CFC00","#66FF00"
"AZUL DODGER","#1E90FF","#3399FF"
"VERDE AMARILLO","#9ACD32","#99CC33"
"VIOLETA ROJO PÁLIDO","#DB7093","#CC6699"
"AZUL PIZARRA MEDIO","#7B68EE","#6666FF"
"ORQUÍDEA MEDIO","#BA55D3","#CC66CC"
"CORAL","#FF7F50","#FF6666"
"AZUL CADETE","#5F9EA0","#669999"
"VERDE MAR CLARO","#20B2AA","#339999"
"DORADO ALAMBRE","#DAA520","#CC9933"
"NARANJA","#FFA500","#FF9900"
"GRIS PIZARRA CLARO","#778899","#669999"
"FUCSIA","#FF00FF","#FF00FF"
"MAGENTA","#FF00FF","#FF00FF"
"VERDE MAR MEDIO","#3CB371","#33CC66"
"PERÚ","#CD853F","#CC9933"
"AZUL ACERO","#4682B4","#3399CC"
"AZUL REAL","#4169E1","#3366CC"
"GRIS PIZARRA","#708090","#669999"
"TOMATE","#FF6347","#FF6633"
"NARANJA OSCURO","#FF8C00","#FF9900"
"AZUL PIZARRA","#6A5ACD","#6666CC"
"VERDE LIMA","#32CD32","#33CC33"
"LIMA","#00FF00","#00FF00"
"ROJO INDIO","#CD5C5C","#CC6666"
"ORQUÍDEA OSCURO","#9932CC","#9933CC"
"AZUL VIOLETA","#8A2BE2","#9933FF"
"ROSA INTENSO","#FF1493","#FF0099"
"DORADO ALAMBRE OSCURO","#B8860B","#CC9900"
"CHOCOLATE","#D2691E","#CC6633"
"CIAN OSCURO","#008B8B","#009999"
"GRIS DIFUSO","#696969","#666666"
"GRIS ACEITUNA","#6B8E23","#669933"
"VERDE MAR","#2E8B57","#339966"
"VERDE CERCETA","#008080","#009999"
"VIOLETA OSCURO","#9400D3","#9900CC"
"VIOLETA ROJO MEDIO","#C71585","#CC0066"
"NARANJA ROJO","#FF4500","#FF3300"
"ACEITUNA","#808000","#999900"
"SIENA","#A0522D","#996633"
"AZUL PIZARRA OSCURO","#483D8B","#333399"
"VERDE ACEITUNA OSCURO","#556B2F","#666633"
"VERDE BOSQUE","#228B22","#339933"
"CARMESÍ","#DC143C","#CC0033"
"AZUL","#0000FF","#0000FF"
"MAGENTA OSCURO","#8B008B","#990099"
"GRIS PIZARRA OSCURO","#2F4F4F","#336666"
"MARRÓN MONTURA","#8B4513","#993300"
"MARRÓN","#A52A2A","#993333"
"LADRILLO REFRACTARIO","#B22222","#993333"
"PÚRPURA","#800080","#990099"
"VERDE","#008000","#009900"
"ROJO","#FF0000","#FF0000"
"AZUL MEDIO","#0000CD","#0000CC"
"ÍNDIGO","#4B0082","#330099"
"AZUL MEDIANOCHE","#191970","#000066"
"VERDE OSCURO","#006400","#006600"
"AZUL OSCURO","#00008B","#000099"
"AZUL MARINO","#000080","#000099"
"ROJO OSCURO","#8B0000","#990000"
"GRANATE","#800000","#990000"
"NEGRO","#000000","#000000"
